file,start,end,message,severity
"native\common\src\components\complex\collapsible.tsx","132:28","132:43","Parameter 'shouldBeToggled' implicitly has an 'any' type, but a better type may be inferred from usa","warning"
"native\common\src\components\dataEntry\inputs\color.tsx","24:38","24:39","Parameter 'e' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","382:39","382:46","Rest parameter 'args' implicitly has an 'any[]' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","183:88","183:97","Member 'webStyles' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","183:80","183:85","Member 'style' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","183:53","183:62","Member 'webStyles' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","183:45","183:50","Member 'style' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","29:27","29:34","Rest parameter 'args' implicitly has an 'any[]' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","24:15","24:21","Variable 'result' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","24:12","24:13","Variable 'b' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\utilityFunctions.ts","24:9","24:10","Variable 'a' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\hubs.ts","251:9","251:14","'JobId' is declared but its value is never read.","warning"
"native\common\src\utils\hubs.ts","250:5","250:22","'JobUnsubscribeObj' is declared but its value is never read.","warning"
"native\common\src\utils\hubs.ts","247:9","247:22","'ProcessAction' is declared but its value is never read.","warning"
"native\common\src\utils\hubs.ts","246:5","246:16","'JobBatchObj' is declared but its value is never read.","warning"
"native\common\src\utils\hubs.ts","235:5","243:24","All variables are unused.","warning"
"native\common\src\utils\hubs.ts","234:5","234:15","'JobInfoObj' is declared but its value is never read.","warning"
"native\common\src\utils\hubs.ts","223:5","231:23","All variables are unused.","warning"
"native\common\src\utils\hubs.ts","222:5","222:19","'JobWorkbookObj' is declared but its value is never read.","warning"
"native\common\src\utils\hubs.ts","215:5","219:24","All variables are unused.","warning"
"native\common\src\utils\hubs.ts","214:5","214:19","'JobInstructObj' is declared but its value is never read.","warning"
"native\common\src\utils\hubs.ts","203:23","203:29","Parameter 'reason' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\hubs.ts","154:29","154:32","Parameter 'res' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
"native\common\src\utils\hubs.ts","139:17","139:38","Member 'unsubscribeFromJobHub' implicitly has an 'any' type, but a better type may be inferred from ","warning"
"native\common\src\utils\hubs.ts","138:17","138:28","Member 'killJobById' implicitly has an 'any' type, but a better type may be inferred from usage.","warning"
